comparison,mean_dice_delta,mean_false_negative_volume_ml_delta,mean_false_positive_volume_ml_delta
best_dice_vs_raw,0.1815415751,5.5415860130,-24.1622392069
low_fp_vs_raw,0.0691483630,4.1179778038,-29.1848569339
