rank,method,protocol_score,mean_mass_ratio_inside_gt,mean_top10_ratio_inside_gt,mean_mass_ratio_inside_prediction_on_false_positive
1,integrated_gradients,0.03691290851797654,0.04921721135730205,0.03394431834798808,
2,saliency,0.012402587891090926,0.016536783854787903,0.0165366495641725,
3,occlusion,0.010320626287054623,0.013760835049406162,0.02768038617886179,
